JR AUTO PECAS - MATRIZ

CONTAGEM DE ESTOQUE 15/07/2026 10:22

Departamento do Produto : TODOS
Empresa : 001-JR AUTO PECAS - MATRIZ
Fornecedor : TODOS
Produto : TODOS
Marca : TODOS
Unidade : TODOS
Descrição : TODOS
Exibir Saldo Reservado : NÃO
Exibir Saldo : SIM
Exibir Saldo ML/GR : NÃO
Exportação para E-Commerce : TODOS
Grupo de Compra : TODOS
Exibir Ítem : TODOS
Imprime Lista : TODOS
Linha/Grupo Final : TODOS
Linha/Grupo Inicial : TODOS
Localização Física Final : B 0350
Localização Física Inicial : B 0001
Saldos dos Lotes : TODOS
Status do Lote : TODOS
Lote : TODOS
Opção : ALFABÉTICA
Quebrar Página : NÃO
Quebrar Unidade : NÃO
Saldos : TODOS
Status : TODOS
Referência Inicial : TODOS
Referência Final : TODOS
Localização Super Estoque Final : TODOS
Localização Super Estoque Inicial : TODOS
Lote : TODOS OS ÍTENS
Destino : CSV

CÓDIGO;DESCRIÇÃO;UN.;REFERÊNCIA;LOC.FÍSICA;SALDO;;;;;
"28508";"CIL RODA TRAS CELTA/PRISMA 03/ 6447 RCCR02890 C3500";"PC";"28508";"B 0095";0,00;"______________";"";"";"";""
"47519";"CIL RODA TRAS CELTA/PRISMA 03/ 6447 RCCR02890 C3500";"PC";"47519";"B 0095";11,00;"______________";"";"";"";""
"47720";"CIL RODA TRAS CELTA/PRISMA 03/ 6447 RCCR02890 C3500";"PC";"47720";"B 0095";3,00;"______________";"";"";"";""
"49467";"CIL RODA TRAS CELTA/PRISMA 03/ 6447 RCCR02890 C3500";"PC";"49467";"B 0095";2,00;"______________";"";"";"";""
"43165";"CIL RODA TRAS CORSA/ASTRA/VCTRA /05 (ALUMINIO) RCCR01305 6013 C3410 CR2754 2262754";"PC";"43165";"B 0220";16,00;"______________";"";"";"";""
"07947";"CIL RODA TRAS GOL/PST (14MM) RCCR00384 CR2002 5345 C3350 CCR9214";"PC";"7947";"B 0157";18,00;"______________";"";"";"";""
"36536";"CIL RODA TRAS GOL/PST (14MM) RCCR00384 CR2002 5345 C3350 CCR9214";"PC";"36536";"B 0157";1,00;"______________";"";"";"";""
"36673";"CIL RODA TRAS GOL/PST (14MM) RCCR00384 CR2002 5345 C3350 CCR9214";"PC";"36673";"B 0157";0,00;"______________";"";"";"";""
"38121";"CIL RODA TRAS GOL/PST (14MM) RCCR00384 CR2002 5345 C3350 CCR9214";"PC";"38121";"B 0157";0,00;"______________";"";"";"";""
"34975";"CLICK MANG INJ 5/16 X 5/16 TPQ0001 RETO (FINO)";"PC";"34975";"B 0333";4,00;"______________";"";"";"";""
